Item Name,Category,Visibility,Shipping Enabled,Description,Option 1 Name,Option 1 Value,Option 2 Name,Option 2 Value,SKU,Price,Original Variation ID
AeroVista “Apex Draft” Pullover Hoodie,Apparel,visible,Y,"The AeroVista Apex Draft hoodie features a strong, clean front graphic that instantly reads premium on black. Built for daily wear, built for the mission—whether you’re creating, building, or just moving through the world like you’ve got something in motion. Apparel: Unisex premium mid-weight pullover hoodie",Color,Black,Size,M,694BABA9CED4F_10780,57.0,EHDPCB4W5OHY4MFRVHVZERAD
AeroVista “Apex Draft” Pullover Hoodie,Apparel,visible,Y,"The AeroVista Apex Draft hoodie features a strong, clean front graphic that instantly reads premium on black. Built for daily wear, built for the mission—whether you’re creating, building, or just moving through the world like you’ve got something in motion. Apparel: Unisex premium mid-weight pullover hoodie",Color,Black,Size,L,694BABA9CED4F_10781,57.0,XERBPU4IEU3ZE6JTTAMED5LX
AeroVista “Apex Draft” Pullover Hoodie,Apparel,visible,Y,"The AeroVista Apex Draft hoodie features a strong, clean front graphic that instantly reads premium on black. Built for daily wear, built for the mission—whether you’re creating, building, or just moving through the world like you’ve got something in motion. Apparel: Unisex premium mid-weight pullover hoodie",Color,Black,Size,XL,694BABA9CED4F_10782,57.0,CT4KQZPXATDVWJ5I6PPV5X4X
AeroVista “Apex Draft” Pullover Hoodie,Apparel,visible,Y,"The AeroVista Apex Draft hoodie features a strong, clean front graphic that instantly reads premium on black. Built for daily wear, built for the mission—whether you’re creating, building, or just moving through the world like you’ve got something in motion. Apparel: Unisex premium mid-weight pullover hoodie",Color,Black,Size,2XL,694BABA9CED4F_10783,57.0,VOEBSOGEPUBYLBVKCEZM3RVL
AeroVista “Apex Draft” Pullover Hoodie,Apparel,visible,Y,"The AeroVista Apex Draft hoodie features a strong, clean front graphic that instantly reads premium on black. Built for daily wear, built for the mission—whether you’re creating, building, or just moving through the world like you’ve got something in motion. Apparel: Unisex premium mid-weight pullover hoodie",Color,Black,Size,3XL,694BABA9CED4F_13416,57.0,2AUBLOMJLLNGFNLBB5PATCV5
AeroVista “Apex Draft” Zip Hoodie,Apparel,visible,Y,"The Apex Draft Zip Hoodie is your everyday layer: sharp branding on the chest, full-zip versatility, and a clean look that works anywhere. Toss it on for early mornings, travel days, or when you need an effortless fit that still feels intentional. Apparel: Unisex premium mid-weight zip hoodie",Color,Black,Size,S,694BAE3D66E20_24251,48.0,626UEKN7DNZOSK47GPDNUBSX
AeroVista “Apex Draft” Zip Hoodie,Apparel,visible,Y,"The Apex Draft Zip Hoodie is your everyday layer: sharp branding on the chest, full-zip versatility, and a clean look that works anywhere. Toss it on for early mornings, travel days, or when you need an effortless fit that still feels intentional. Apparel: Unisex premium mid-weight zip hoodie",Color,Black,Size,M,694BAE3D66E20_24257,48.0,UIZWJP7GNQ4MYLTFHX5X42NQ
AeroVista “Apex Draft” Zip Hoodie,Apparel,visible,Y,"The Apex Draft Zip Hoodie is your everyday layer: sharp branding on the chest, full-zip versatility, and a clean look that works anywhere. Toss it on for early mornings, travel days, or when you need an effortless fit that still feels intentional. Apparel: Unisex premium mid-weight zip hoodie",Color,Black,Size,L,694BAE3D66E20_24263,48.0,YCD5LKVJLM5AAOPVN2RS4HCR
AeroVista “Apex Draft” Zip Hoodie,Apparel,visible,Y,"The Apex Draft Zip Hoodie is your everyday layer: sharp branding on the chest, full-zip versatility, and a clean look that works anywhere. Toss it on for early mornings, travel days, or when you need an effortless fit that still feels intentional. Apparel: Unisex premium mid-weight zip hoodie",Color,Black,Size,XL,694BAE3D66E20_24269,48.0,AYTBHRR3SOXVQVZT4JZ7L2FO
AeroVista “Apex Draft” Zip Hoodie,Apparel,visible,Y,"The Apex Draft Zip Hoodie is your everyday layer: sharp branding on the chest, full-zip versatility, and a clean look that works anywhere. Toss it on for early mornings, travel days, or when you need an effortless fit that still feels intentional. Apparel: Unisex premium mid-weight zip hoodie",Color,Black,Size,2XL,694BAE3D66E20_24275,48.0,SLQ3WM4MMLK7UYOJZZBSBK7P
AeroVista “Apex Draft” Zip Hoodie,Apparel,visible,Y,"The Apex Draft Zip Hoodie is your everyday layer: sharp branding on the chest, full-zip versatility, and a clean look that works anywhere. Toss it on for early mornings, travel days, or when you need an effortless fit that still feels intentional. Apparel: Unisex premium mid-weight zip hoodie",Color,Black,Size,3XL,694BAE3D66E20_25689,48.0,R46VZTULGJQ2LGOAEVKYQXMJ
AeroVista “Apex Mesh” Trucker Cap,Apparel,visible,Y,"The AeroVista Apex Mesh cap is built for daily wear: structured front panel, breathable mesh back, and a crisp embroidered-style logo that pops in silver and blue. It’s the kind of hat you can throw on for work days, road miles, shop time, or just keeping the sun out while you move. Key features: Structured front + breathable mesh back Curved brim for a classic silhouette AeroVista Apex logo front and center Easy, adjustable snapback fit Fit note: One size fits most (adjustable snapback).",Size,One Size,,,698A6A96555FB_8747,30.0,7CTKCADMVJBJRHQNT2IPUQKG
AeroVista “Wave Mark” Zip Hoodie,Apparel,visible,Y,"The AeroVista Wave Mark zip hoodie is a clean, bright layer with a minimalist chest logo that pops without overpowering. Lightweight-looking, premium-feeling, and easy to style—this one’s built for fresh fits, studio days, and anyone who likes their merch crisp. Apparel: Unisex premium mid-weight zip hoodie",Color,White,Size,S,693794485BAA8_25695,39.0,CPA6XTA4T5IQB537M5W4Q4VF
AeroVista “Wave Mark” Zip Hoodie,Apparel,visible,Y,"The AeroVista Wave Mark zip hoodie is a clean, bright layer with a minimalist chest logo that pops without overpowering. Lightweight-looking, premium-feeling, and easy to style—this one’s built for fresh fits, studio days, and anyone who likes their merch crisp. Apparel: Unisex premium mid-weight zip hoodie",Color,White,Size,M,693794485BAA8_25696,39.0,53QE2TLU4PEQON5R72AT7KTJ
AeroVista “Wave Mark” Zip Hoodie,Apparel,visible,Y,"The AeroVista Wave Mark zip hoodie is a clean, bright layer with a minimalist chest logo that pops without overpowering. Lightweight-looking, premium-feeling, and easy to style—this one’s built for fresh fits, studio days, and anyone who likes their merch crisp. Apparel: Unisex premium mid-weight zip hoodie",Color,White,Size,L,693794485BAA8_25697,39.0,PILOMOJABQBCPOJUR6U6S4IV
AeroVista “Wave Mark” Zip Hoodie,Apparel,visible,Y,"The AeroVista Wave Mark zip hoodie is a clean, bright layer with a minimalist chest logo that pops without overpowering. Lightweight-looking, premium-feeling, and easy to style—this one’s built for fresh fits, studio days, and anyone who likes their merch crisp. Apparel: Unisex premium mid-weight zip hoodie",Color,White,Size,XL,693794485BAA8_25698,39.0,SHORMSQAFZKCHCUD2DRTRVRO
AeroVista “Wave Mark” Zip Hoodie,Apparel,visible,Y,"The AeroVista Wave Mark zip hoodie is a clean, bright layer with a minimalist chest logo that pops without overpowering. Lightweight-looking, premium-feeling, and easy to style—this one’s built for fresh fits, studio days, and anyone who likes their merch crisp. Apparel: Unisex premium mid-weight zip hoodie",Color,White,Size,2XL,693794485BAA8_25699,41.5,57O6PTL6RREP6OFPD3SXYJPC
AeroVista “Wave Mark” Zip Hoodie,Apparel,visible,Y,"The AeroVista Wave Mark zip hoodie is a clean, bright layer with a minimalist chest logo that pops without overpowering. Lightweight-looking, premium-feeling, and easy to style—this one’s built for fresh fits, studio days, and anyone who likes their merch crisp. Apparel: Unisex premium mid-weight zip hoodie",Color,White,Size,3XL,693794485BAA8_25700,44.5,USVD5S24F6WDO7ZMUGTDPFBS
Bonsaid bubble-free stickers,Utility,visible,Y,"Where grounding meets growth. Inspired by the rugged spirit of Idaho and the quiet strength of a well-trained bonsai, the Bonsaid sticker brings a striking visual balance of nature, patience, and power. Designed to look like a carved monolith with golden emboss, this original artwork turns your gear into a quiet rebellion — serene, but not soft. Stick it on your board, laptop, water bottle, or journal — wherever balance and chaos coexist. Features 🌲 Original Artwork – Idaho state silhouette with deep-rooted bonsai in earthy tones ✨ Durable Vinyl – Scratch-resistant, weatherproof finish 💨 Bubble-Free Application – Easy peel & stick with high-opacity backing 📏 95µ Density – Feels premium, not flimsy 🌍 Eco-Friendly Print – Made to order, less waste Tip: Wipe down the surface before applying for best results. This product is made especially for you as soon as you place an order, which is why it takes us a bit longer to deliver it to you. Making products on demand instead of in bulk helps reduce overproduction, so thank you for making thoughtful purchasing decisions!",Size,3″×3″,,,68F6DCEEC9D6A_10163,5.0,CKOPDHDCBJ2IRWSIX566KUTN
Bonsaid bubble-free stickers,Utility,visible,Y,"Where grounding meets growth. Inspired by the rugged spirit of Idaho and the quiet strength of a well-trained bonsai, the Bonsaid sticker brings a striking visual balance of nature, patience, and power. Designed to look like a carved monolith with golden emboss, this original artwork turns your gear into a quiet rebellion — serene, but not soft. Stick it on your board, laptop, water bottle, or journal — wherever balance and chaos coexist. Features 🌲 Original Artwork – Idaho state silhouette with deep-rooted bonsai in earthy tones ✨ Durable Vinyl – Scratch-resistant, weatherproof finish 💨 Bubble-Free Application – Easy peel & stick with high-opacity backing 📏 95µ Density – Feels premium, not flimsy 🌍 Eco-Friendly Print – Made to order, less waste Tip: Wipe down the surface before applying for best results. This product is made especially for you as soon as you place an order, which is why it takes us a bit longer to deliver it to you. Making products on demand instead of in bulk helps reduce overproduction, so thank you for making thoughtful purchasing decisions!",Size,3″×3″,,,68F6E047D6E00_10163,5.5,Y74ECUXTAL2QTTPODUUIKHXM
Bonsaid bubble-free stickers,Utility,visible,Y,"Where grounding meets growth. Inspired by the rugged spirit of Idaho and the quiet strength of a well-trained bonsai, the Bonsaid sticker brings a striking visual balance of nature, patience, and power. Designed to look like a carved monolith with golden emboss, this original artwork turns your gear into a quiet rebellion — serene, but not soft. Stick it on your board, laptop, water bottle, or journal — wherever balance and chaos coexist. Features 🌲 Original Artwork – Idaho state silhouette with deep-rooted bonsai in earthy tones ✨ Durable Vinyl – Scratch-resistant, weatherproof finish 💨 Bubble-Free Application – Easy peel & stick with high-opacity backing 📏 95µ Density – Feels premium, not flimsy 🌍 Eco-Friendly Print – Made to order, less waste Tip: Wipe down the surface before applying for best results. This product is made especially for you as soon as you place an order, which is why it takes us a bit longer to deliver it to you. Making products on demand instead of in bulk helps reduce overproduction, so thank you for making thoughtful purchasing decisions!",Size,5.5″×5.5″,,,68F6DCEEC9D6A_10165,6.0,TSTIZRPHONHARTWHOENNKZ3C
Bonsaid bubble-free stickers,Utility,visible,Y,"Where grounding meets growth. Inspired by the rugged spirit of Idaho and the quiet strength of a well-trained bonsai, the Bonsaid sticker brings a striking visual balance of nature, patience, and power. Designed to look like a carved monolith with golden emboss, this original artwork turns your gear into a quiet rebellion — serene, but not soft. Stick it on your board, laptop, water bottle, or journal — wherever balance and chaos coexist. Features 🌲 Original Artwork – Idaho state silhouette with deep-rooted bonsai in earthy tones ✨ Durable Vinyl – Scratch-resistant, weatherproof finish 💨 Bubble-Free Application – Easy peel & stick with high-opacity backing 📏 95µ Density – Feels premium, not flimsy 🌍 Eco-Friendly Print – Made to order, less waste Tip: Wipe down the surface before applying for best results. This product is made especially for you as soon as you place an order, which is why it takes us a bit longer to deliver it to you. Making products on demand instead of in bulk helps reduce overproduction, so thank you for making thoughtful purchasing decisions!",Size,5.5″×5.5″,,,68F6E047D6E00_10165,7.5,BIEAWO566RTHA5XW4LZ7DBKU
BONSAID “Rooted Resilience” Hoodie – Premium Print,,visible,Y,"Find calm and strength in every layer with the BONSAID “Rooted Resilience” Hoodie — a design that honors growth through grounded roots and mindful balance. Featuring a vivid DTFlex print of the BONSAID bonsai tree growing from Idaho stone, this hoodie blends art, nature, and identity into a wearable statement piece. Crafted for durability and comfort, it’s soft on the inside, structured on the outside, making it perfect for creative work, chill days, or your next forest walk. Details: High-quality Direct-to-Film (DTFlex) print — rich colors, durable through washes Medium-heavy cotton blend for warmth and structure Spacious front pocket & soft brushed lining Double-stitched seams for lasting wear Unisex fit — comfortable, relaxed, and true to size Available in multiple colorways (tan, forest green, charcoal, sand, and more) Each BONSAID hoodie represents patience, resilience, and the art of growth — reminding you to stay rooted, even when you bend.",Color,Black,Size,S,68F80CD7E2481_10779,47.0,EAFNU3O64LRM52CPTVRUWESP
BONSAID “Rooted Resilience” Hoodie – Premium Print,,visible,Y,"Find calm and strength in every layer with the BONSAID “Rooted Resilience” Hoodie — a design that honors growth through grounded roots and mindful balance. Featuring a vivid DTFlex print of the BONSAID bonsai tree growing from Idaho stone, this hoodie blends art, nature, and identity into a wearable statement piece. Crafted for durability and comfort, it’s soft on the inside, structured on the outside, making it perfect for creative work, chill days, or your next forest walk. Details: High-quality Direct-to-Film (DTFlex) print — rich colors, durable through washes Medium-heavy cotton blend for warmth and structure Spacious front pocket & soft brushed lining Double-stitched seams for lasting wear Unisex fit — comfortable, relaxed, and true to size Available in multiple colorways (tan, forest green, charcoal, sand, and more) Each BONSAID hoodie represents patience, resilience, and the art of growth — reminding you to stay rooted, even when you bend.",Color,Black,Size,M,68F80CD7E2481_10780,48.0,O744UW6P3BZ623CLHBC4SIXH
BONSAID “Rooted Resilience” Hoodie – Premium Print,,visible,Y,"Find calm and strength in every layer with the BONSAID “Rooted Resilience” Hoodie — a design that honors growth through grounded roots and mindful balance. Featuring a vivid DTFlex print of the BONSAID bonsai tree growing from Idaho stone, this hoodie blends art, nature, and identity into a wearable statement piece. Crafted for durability and comfort, it’s soft on the inside, structured on the outside, making it perfect for creative work, chill days, or your next forest walk. Details: High-quality Direct-to-Film (DTFlex) print — rich colors, durable through washes Medium-heavy cotton blend for warmth and structure Spacious front pocket & soft brushed lining Double-stitched seams for lasting wear Unisex fit — comfortable, relaxed, and true to size Available in multiple colorways (tan, forest green, charcoal, sand, and more) Each BONSAID hoodie represents patience, resilience, and the art of growth — reminding you to stay rooted, even when you bend.",Color,Black,Size,L,68F80CD7E2481_10781,49.0,TZANU3FMX6KT4N25K6SDVAFF
BONSAID “Rooted Resilience” Hoodie – Premium Print,,visible,Y,"Find calm and strength in every layer with the BONSAID “Rooted Resilience” Hoodie — a design that honors growth through grounded roots and mindful balance. Featuring a vivid DTFlex print of the BONSAID bonsai tree growing from Idaho stone, this hoodie blends art, nature, and identity into a wearable statement piece. Crafted for durability and comfort, it’s soft on the inside, structured on the outside, making it perfect for creative work, chill days, or your next forest walk. Details: High-quality Direct-to-Film (DTFlex) print — rich colors, durable through washes Medium-heavy cotton blend for warmth and structure Spacious front pocket & soft brushed lining Double-stitched seams for lasting wear Unisex fit — comfortable, relaxed, and true to size Available in multiple colorways (tan, forest green, charcoal, sand, and more) Each BONSAID hoodie represents patience, resilience, and the art of growth — reminding you to stay rooted, even when you bend.",Color,Black,Size,XL,68F80CD7E2481_10782,50.0,RRIRUQPA4NA2MDCUVJQBJO3S
BONSAID “Rooted Resilience” Hoodie – Premium Print,,visible,Y,"Find calm and strength in every layer with the BONSAID “Rooted Resilience” Hoodie — a design that honors growth through grounded roots and mindful balance. Featuring a vivid DTFlex print of the BONSAID bonsai tree growing from Idaho stone, this hoodie blends art, nature, and identity into a wearable statement piece. Crafted for durability and comfort, it’s soft on the inside, structured on the outside, making it perfect for creative work, chill days, or your next forest walk. Details: High-quality Direct-to-Film (DTFlex) print — rich colors, durable through washes Medium-heavy cotton blend for warmth and structure Spacious front pocket & soft brushed lining Double-stitched seams for lasting wear Unisex fit — comfortable, relaxed, and true to size Available in multiple colorways (tan, forest green, charcoal, sand, and more) Each BONSAID hoodie represents patience, resilience, and the art of growth — reminding you to stay rooted, even when you bend.",Color,Black,Size,2XL,68F80CD7E2481_10783,51.0,PH5ZYQHAVFMXKN36TEEX5MPN
BONSAID “Rooted Resilience” Hoodie – Premium Print,,visible,Y,"Find calm and strength in every layer with the BONSAID “Rooted Resilience” Hoodie — a design that honors growth through grounded roots and mindful balance. Featuring a vivid DTFlex print of the BONSAID bonsai tree growing from Idaho stone, this hoodie blends art, nature, and identity into a wearable statement piece. Crafted for durability and comfort, it’s soft on the inside, structured on the outside, making it perfect for creative work, chill days, or your next forest walk. Details: High-quality Direct-to-Film (DTFlex) print — rich colors, durable through washes Medium-heavy cotton blend for warmth and structure Spacious front pocket & soft brushed lining Double-stitched seams for lasting wear Unisex fit — comfortable, relaxed, and true to size Available in multiple colorways (tan, forest green, charcoal, sand, and more) Each BONSAID hoodie represents patience, resilience, and the art of growth — reminding you to stay rooted, even when you bend.",Color,Black,Size,3XL,68F80CD7E2481_13416,52.0,R5KBMQ2UYZYLF3JOS6KHPD34
BONSAID “Rooted Resilience” Hoodie – Premium Print,,visible,Y,"Find calm and strength in every layer with the BONSAID “Rooted Resilience” Hoodie — a design that honors growth through grounded roots and mindful balance. Featuring a vivid DTFlex print of the BONSAID bonsai tree growing from Idaho stone, this hoodie blends art, nature, and identity into a wearable statement piece. Crafted for durability and comfort, it’s soft on the inside, structured on the outside, making it perfect for creative work, chill days, or your next forest walk. Details: High-quality Direct-to-Film (DTFlex) print — rich colors, durable through washes Medium-heavy cotton blend for warmth and structure Spacious front pocket & soft brushed lining Double-stitched seams for lasting wear Unisex fit — comfortable, relaxed, and true to size Available in multiple colorways (tan, forest green, charcoal, sand, and more) Each BONSAID hoodie represents patience, resilience, and the art of growth — reminding you to stay rooted, even when you bend.",Color,Bone,Size,S,68F80CD7E2481_20284,47.0,UOR6OD7NGROZ4HTDVHDZN4NF
BONSAID “Rooted Resilience” Hoodie – Premium Print,,visible,Y,"Find calm and strength in every layer with the BONSAID “Rooted Resilience” Hoodie — a design that honors growth through grounded roots and mindful balance. Featuring a vivid DTFlex print of the BONSAID bonsai tree growing from Idaho stone, this hoodie blends art, nature, and identity into a wearable statement piece. Crafted for durability and comfort, it’s soft on the inside, structured on the outside, making it perfect for creative work, chill days, or your next forest walk. Details: High-quality Direct-to-Film (DTFlex) print — rich colors, durable through washes Medium-heavy cotton blend for warmth and structure Spacious front pocket & soft brushed lining Double-stitched seams for lasting wear Unisex fit — comfortable, relaxed, and true to size Available in multiple colorways (tan, forest green, charcoal, sand, and more) Each BONSAID hoodie represents patience, resilience, and the art of growth — reminding you to stay rooted, even when you bend.",Color,Bone,Size,M,68F80CD7E2481_20285,48.0,OCUFSGFK4UQ6X5QSRA7I7YVM
BONSAID “Rooted Resilience” Hoodie – Premium Print,,visible,Y,"Find calm and strength in every layer with the BONSAID “Rooted Resilience” Hoodie — a design that honors growth through grounded roots and mindful balance. Featuring a vivid DTFlex print of the BONSAID bonsai tree growing from Idaho stone, this hoodie blends art, nature, and identity into a wearable statement piece. Crafted for durability and comfort, it’s soft on the inside, structured on the outside, making it perfect for creative work, chill days, or your next forest walk. Details: High-quality Direct-to-Film (DTFlex) print — rich colors, durable through washes Medium-heavy cotton blend for warmth and structure Spacious front pocket & soft brushed lining Double-stitched seams for lasting wear Unisex fit — comfortable, relaxed, and true to size Available in multiple colorways (tan, forest green, charcoal, sand, and more) Each BONSAID hoodie represents patience, resilience, and the art of growth — reminding you to stay rooted, even when you bend.",Color,Bone,Size,L,68F80CD7E2481_20286,49.0,TE3TINA4NL3ID2XZ3IXUF5W2
BONSAID “Rooted Resilience” Hoodie – Premium Print,,visible,Y,"Find calm and strength in every layer with the BONSAID “Rooted Resilience” Hoodie — a design that honors growth through grounded roots and mindful balance. Featuring a vivid DTFlex print of the BONSAID bonsai tree growing from Idaho stone, this hoodie blends art, nature, and identity into a wearable statement piece. Crafted for durability and comfort, it’s soft on the inside, structured on the outside, making it perfect for creative work, chill days, or your next forest walk. Details: High-quality Direct-to-Film (DTFlex) print — rich colors, durable through washes Medium-heavy cotton blend for warmth and structure Spacious front pocket & soft brushed lining Double-stitched seams for lasting wear Unisex fit — comfortable, relaxed, and true to size Available in multiple colorways (tan, forest green, charcoal, sand, and more) Each BONSAID hoodie represents patience, resilience, and the art of growth — reminding you to stay rooted, even when you bend.",Color,Bone,Size,XL,68F80CD7E2481_20287,50.0,NFPCMPMJPKJNFWAZAJDGMRTT
BONSAID “Rooted Resilience” Hoodie – Premium Print,,visible,Y,"Find calm and strength in every layer with the BONSAID “Rooted Resilience” Hoodie — a design that honors growth through grounded roots and mindful balance. Featuring a vivid DTFlex print of the BONSAID bonsai tree growing from Idaho stone, this hoodie blends art, nature, and identity into a wearable statement piece. Crafted for durability and comfort, it’s soft on the inside, structured on the outside, making it perfect for creative work, chill days, or your next forest walk. Details: High-quality Direct-to-Film (DTFlex) print — rich colors, durable through washes Medium-heavy cotton blend for warmth and structure Spacious front pocket & soft brushed lining Double-stitched seams for lasting wear Unisex fit — comfortable, relaxed, and true to size Available in multiple colorways (tan, forest green, charcoal, sand, and more) Each BONSAID hoodie represents patience, resilience, and the art of growth — reminding you to stay rooted, even when you bend.",Color,Bone,Size,2XL,68F80CD7E2481_20288,51.0,ZDXDTFYM6GFKKPLOEF45PFWK
